token,tag
Эвотор,B-ORG
и,O
SberCloud,B-ORG
неназванному,O
стороннему,O
покупателю,O
В,O
годах,O
в,O
СССР,B-LOC
был,O
массовый,O
из,O
за,O
политики,O
властей,O
экспорт,O
зерна,O
за,O
рубеж,O
продразвёрстка,O
с,O
выполнением,O
плана,O
любой,O
общей,O
военной,O
разрухи,O
и,O
слабости,O
подорванного,O
коллективизацией,O
сельского,O
хозяйства,O
По,O
Топорову,I-PER
слово,O
имеет,O
балтийское,O
происхождение,O
В,O
апреле,O
года,O
Сбер,B-ORG
представил,O
чат,O
бота,O
на,O
основе,O
ИИ,O
GigaChat,O
Однако,O
нет,O
юридической,O
преемственности,O
между,O
сберегательными,O
кассами,O
Российской,B-LOC
империи,I-LOC
Гострудсберкассами,B-LOC
Сберегательным,B-ORG
банком,I-ORG
СССР,B-LOC
и,O
Сбербанком,B-ORG
России,B-LOC
Они,O
производятся,O
на,O
предприятии,O
Прогресс,B-ORG
с,O
момента,O
своего,O
создания,O
Дочерние,O
проекты,O
Собственники,O
и,O
руководство,O
Председатели,O
правления,O
Сбербанка,B-ORG
России,I-ORG
Деятельность,O
Показатели,O
деятельности,O
Производственная,O
система,O
Сбербанка,B-ORG
Государственные,O
услуги,O
Услуги,O
для,O
бизнеса,O
Брокерские,O
услуги,O
Достижения,O
Территориальные,O
банки,O
Сбербанка,B-ORG
Дочерние,O
организации,O
Оценки,O
рейтинговых,O
агентств,O
Логотип,O
и,O
смена,O
фирменного,O
стиля,O
Вклады,O
граждан,O
СССР,B-LOC
в,O
банке,O
Скандалы,O
и,O
конфликты,O
Бойкот,O
на,O
Украине,B-LOC
Санкции,O
Евросоюза,B-LOC
Конфликт,O
с,O
Транснефтью,B-ORG
Мошеннические,O
прозвоны,O
и,O
рассылки,O
Санкции,O
в,O
связи,O
с,O
вторжением,O
России,B-LOC
на,O
Украину,B-LOC
Примечания,O
Литература,O
Ссылки,O
править,O
код,O
Почтовая,O
марка,O
России,B-LOC
посвящённая,O
Сбербанка,B-ORG
В,O
своей,O
корпоративной,O
идентичности,O
рекламе,O
и,O
на,O
презентациях,O
Сбербанк,B-ORG
активно,O
использует,O
идею,O
о,O
правопреемстве,O
от,O
сберегательных,O
касс,O
России,B-LOC
учреждённых,O
российским,O
императором,O
Николаем,B-PER
I,I-PER
октября,O
ноября,O
года,O
когда,O
был,O
подписан,O
указ,O
об,O
учреждении,O
в,O
России,B-LOC
сберегательных,O
касс,O
для,O
доставления,O
через,O
то,O
средств,O
к,O
сбережению,O
верным,O
и,O
выгодным,O
Рег,O
ЕГРОКН,O
СССР,B-LOC
государство,O
в,O
Евразии,B-LOC
существовавшее,O
с,O
декабря,O
года,O
по,O
декабря,O
года,O
В,O
августе,O
года,O
Сбербанк,B-ORG
подал,O
в,O
суд,O
в,O
Люксембурге,B-LOC
иски,O
против,O
решения,O
Единого,B-ORG
совета,I-ORG
по,O
разрешению,O
проблем,O
банковского,O
сектора,O
Европейского,B-LOC
союза,I-LOC
который,O
санкционировал,O
ликвидацию,O
Sberbank,B-ORG
Europe,I-ORG
в,O
Австрии,B-LOC
и,O
банкротство,O
дочерних,O
компаний,O
в,O
Хорватии,B-LOC
и,O
За,O
время,O
нахождения,O
на,O
посту,O
главы,O
ФСБ,B-ORG
упразднил,O
управления,O
ФСБ,B-ORG
по,O
экономической,O
контрразведке,O
и,O
по,O
контрразведывательному,O
обеспечению,O
стратегических,O
объектов,O
создал,O
вместо,O
них,O
шесть,O
новых,O
По,O
значению,O
Конституция,O
являлась,O
союзным,O
договором,O
принятом,O
на,O
съезде,O
Советов,B-LOC
Для,O
определения,O
собственной,O
политики,O
в,O
области,O
космоса,O
по,O
предложению,O
Президента,O
России,B-LOC
Бориса,B-PER
Ельцина,I-PER
февраля,O
было,O
создано,O
Российское,B-ORG
космическое,I-ORG
агентство,I-ORG
Оба,O
бывших,O
топ,O
менеджера,O
Сбера,B-ORG
граждане,O
США,B-LOC
Среди,O
стран,O
основателей,O
ООН,B-ORG
наряду,O
с,O
СССР,B-LOC
были,O
и,O
его,O
союзные,O
республики,O
БССР,O
и,O
УССР,B-ORG
В,O
ходе,O
кампании,O
года,O
Красная,B-ORG
армия,I-ORG
нанесла,O
немецких,O
войскам,O
ряд,O
крупных,O
поражений,O
полностью,O
освободив,O
территорию,O
СССР,B-LOC
и,O
перенеся,O
боевые,O
действия,O
на,O
территорию,O
европейских,O
стран,O
Советский,B-LOC
Союз,I-LOC
доминировал,O
в,O
мировой,O
системе,O
социализма,O
а,O
также,O
был,O
соучредителем,O
ООН,B-ORG
постоянным,O
членом,O
Совета,B-ORG
Безопасности,I-ORG
ООН,B-ORG
с,O
правом,O
вето,O
Возникновение,O
СССР,B-LOC
явилось,O
следствием,O
действий,O
определённых,O
исторических,O
факторов,O
главным,O
из,O
которых,O
была,O
Октябрьская,B-ORG
социалистическая,I-ORG
революция,I-ORG
ноября,O
править,O
код,O
Первый,O
пуск,O
с,O
космодрома,O
Восточный,B-LOC
Байконур,B-ORG
первый,O
и,O
крупнейший,O
в,O
мире,O
космодром,O
арендованный,O
Россией,B-LOC
у,O
Казахстана,B-LOC
на,O
период,O
до,O
года,O
расположен,O
в,O
Кызылординской,B-LOC
области,I-LOC
между,O
городом,O
Казалинск,B-LOC
и,O
посёлком,O
Джусалы,B-LOC
вблизи,O
посёлка,O
В,O
дальнейшем,O
в,O
результате,O
сложных,O
преобразований,O
некоторые,O
автономии,O
были,O
выделены,O
из,O
РСФСР,B-LOC
в,O
самостоятельные,O
советские,O
республики,O
Казахскую,B-LOC
Киргизскую,B-LOC
Таджикскую,B-LOC
Туркменскую,B-LOC
и,O
Узбекскую,B-LOC
Реальное,O
общее,O
число,O
потерь,O
СССР,B-LOC
в,O
результате,O
войны,O
где,O
причиной,O
смерти,O
стали,O
военные,O
насилия,O
недоедания,O
болезни,O
или,O
репрессии,O
колеблется,O
где,O
то,O
между,O
и,O
млн,O
Первым,O
государственным,O
актом,O
подписанным,O
Путиным,B-PER
на,O
посту,O
и,O
о,O
президента,O
РФ,B-LOC
стал,O
указ,O
О,O
гарантиях,O
президенту,O
Российской,B-LOC
Федерации,I-LOC
прекратившему,O
исполнение,O
своих,O
полномочий,O
и,O
членам,O
его,O
Возможно,O
происхождение,O
слова,O
кремль,O
связано,O
со,O
словом,O
комель,O
Закавказская,O
СФСР,O
была,O
расформирована,O
непосредственно,O
входившие,O
в,O
неё,O
ССР,O
получили,O
статус,O
союзных,O
а,O
ССР,O
Абхазия,B-LOC
договорная,O
с,O
Грузией,B-LOC
понижена,O
в,O
статусе,O
до,O
АССР,B-LOC
В,O
году,O
под,O
управлением,O
Путина,B-PER
Россия,B-LOC
начала,O
войну,O
с,O
Украиной,B-LOC
захватом,O
и,O
аннексией,O
принадлежащего,O
Украине,B-LOC
Указ,O
предоставлял,O
бывшим,O
российским,O
президентам,O
на,O
тот,O
момент,O
таким,O
был,O
только,O
Ельцин,B-PER
гарантии,O
неприкосновенности,O
и,O
другие,O
преференции,O
Байтерек,B-ORG
Плесецк,B-ORG
самый,O
северный,O
и,O
один,O
из,O
крупнейших,O
космодромов,O
мира,O
обеспечивающий,O
часть,O
российских,O
и,O
международных,O
космических,O
программ,O
связанных,O
с,O
оборонными,O
а,O
также,O
прикладными,O
научными,O
и,O
коммерческими,O
пусками,O
непилотируемых,O
космических,O
аппаратов,O
расположен,O
в,O
Плесецком,B-LOC
районе,I-LOC
Архангельской,B-LOC
Впоследствии,O
уже,O
исполняя,O
обязанности,O
президента,O
Путин,B-PER
признал,O
что,O
продовольствие,O
было,O
поставлено,O
не,O
в,O
полном,O
объёме,O
однако,O
утверждал,O
что,O
в,O
уголовном,O
порядке,O
преследовать,O
было,O
не,O
за,O
что,O
и,O
некого,O
а,O
расследования,O
комиссия,O
Салье,B-LOC
в,O
действительности,O
не,O
В,O
марте,O
года,O
Путин,B-PER
был,O
назначен,O
первым,O
заместителем,O
председателя,O
правительства,O
Санкт,B-LOC
Петербурга,I-LOC
сохранив,O
за,O
собой,O
должность,O
руководителя,O
комитета,O
по,O
внешним,O
Полностью,O
аналогичны,O
русским,O
кремлям,O
хотя,O
к,O
ним,O
такое,O
название,O
не,O
применяется,O
окружённые,O
крепостной,O
стеной,O
древне,O
средневековые,O
города,O
крепости,O
Ближнего,B-LOC
Востока,I-LOC
например,O
старый,O
город,O
Иерусалима,B-LOC
Европы,B-LOC
например,O
старый,O
город,O
Авилы,B-LOC
Китая,B-LOC
например,O
старые,O
города,O
Сианя,B-LOC
Датуна,B-LOC
В,O
Толковом,B-ORG
словаре,I-ORG
живого,O
великорусского,O
языка,O
Владимира,B-PER
Даля,I-PER
написано,O
что,O
Кремль,B-LOC
м,O
крем,O
стар,O
Запросы,O
СССР,B-ORG
и,O
Советский,B-ORG
Союз,I-ORG
перенаправляются,O
сюда,O
также,O
другие,O
значения,O
терминов,O
СССР,B-LOC
и,O
Советский,B-LOC
Союз,I-LOC
Сумма,O
сделки,O
могла,O
составить,O
млрд,O
год,O
Защита,O
диссертации,O
В,O
году,O
Путин,B-PER
защитил,O
диссертацию,O
на,O
соискание,O
учёной,O
степени,O
кандидата,O
экономических,O
наук,O
по,O
теме,O
Стратегическое,O
планирование,O
воспроизводства,O
минерально,O
сырьевой,O
базы,O
региона,O
в,O
условиях,O
формирования,O
рыночных,O
отношений,O
Санкт,B-LOC
Петербург,I-LOC
и,O
Ленинградская,B-LOC
в,O
Санкт,B-LOC
Петербургском,I-LOC
государственном,I-LOC
горном,I-LOC
Запрос,O
Путин,B-ORG
перенаправляется,O
сюда,O
также,O
другие,O
значения,O
Приход,O
к,O
власти,O
Основная,O
статья,O
Приход,B-PER
Путина,I-PER
к,O
властиВ,O
ноябре,O
года,O
Путин,B-PER
организовал,O
отъезд,O
во,O
Францию,B-LOC
к,O
тому,O
времени,O
проходившего,O
по,O
уголовному,O
делу,O
о,O
злоупотреблениях,O
в,O
мэрии,O
Санкт,B-LOC
февраля,O
Возможно,O
эта,O
статья,O
требует,O
сокращения,O
Мать,O
Мария,B-PER
Ивановна,I-PER
Путина,I-PER
урождённая,O
Шеломова,B-PER
октября,O
июля,O
происходила,O
из,O
деревни,O
Заречье,B-LOC
Тверского,I-LOC
уезда,I-LOC
Тверской,B-LOC
губернии,I-LOC
где,O
и,O
познакомилась,O
с,O
Владимиром,B-PER
также,O
работала,O
на,O
заводе,O
пережила,O
блокаду,O
Ленинграда,B-LOC
Во,O
время,O
работы,O
в,O
ФСБ,B-ORG
был,O
уволен,O
действующий,O
сотрудник,O
ФСБ,B-ORG
Литвиненко,B-PER
опубликовавший,O
открытое,O
письмо,O
Березовского,B-ORG
главе,I-ORG
ФСБ,B-ORG
После,O
авиаудара,O
по,O
Грозному,O
Владимир,B-PER
Путин,I-PER
произнёс,O
получившую,O
широкую,O
известность,O
фразу,O
Мы,O
будем,O
преследовать,O
террористов,O
везде,O
В,O
сентябре,O
года,O
в,O
России,B-LOC
произошла,O
серия,O
террористических,O
актов,O
взрывы,O
жилых,O
домов,O
в,O
Буйнакске,B-LOC
Москве,B-LOC
на,O
улице,O
Гурьянова,B-LOC
и,O
на,O
Каширском,B-LOC
шоссе,I-LOC
и,O
Волгодонске,B-LOC
жертвами,O
которых,O
стали,O
более,O
В,O
августе,O
года,O
Сбербанк,B-ORG
увеличил,O
долю,O
в,O
Rambler,B-ORG
Group,I-ORG
с,O
до,O
Также,O
сохранились,O
многие,O
внутренние,O
постройки,O
кремля,B-LOC
Для,O
Нахичеванской,B-LOC
Советской,I-LOC
Республики,I-LOC
был,O
определён,O
статус,O
АССР,B-ORG
Слияния,O
и,O
поглощения,O
Пилотируемые,O
космические,O
править,O
код,O
Союз,B-ORG
семейство,O
советских,O
и,O
российских,O
многоместных,O
транспортных,O
пилотируемых,O
космических,O
кораблей,O
Россия,B-LOC
продолжила,O
космические,O
проекты,O
СССР,B-LOC
Эксплуатация,O
орбитального,O
комплекса,O
Мир,O
Международный,O
проект,O
исследования,O
Марса,B-LOC
Исследовательские,O
программы,O
Бион,B-ORG
Фотон,B-ORG
Прогноз,B-ORG
Управление,B-ORG
орбитальной,I-ORG
группировкой,I-ORG
спутников,I-ORG
различного,I-ORG
назначения,I-ORG
Связь,O
Гонец,O
Горизонт,B-PER
Молния,B-LOC
Стрела,B-LOC
Оборона,O
Янтарь,B-LOC
Зенит,B-ORG
Орлец,B-PER
Целина,B-LOC
Око,B-PER
Навигация,O
ГЛОНАСС,O
Парус,B-LOC
Цикада,B-LOC
Дистанционное,O
зондирование,O
Земли,B-LOC
Ресурс,B-LOC
Телевещание,O
Экран,O
В,O
году,O
Путин,B-PER
участвовал,O
в,O
расследовании,O
дела,O
возбуждённого,O
из,O
за,O
надписи,O
Вы,O
распинаете,O
свободу,O
но,O
душа,O
человека,O
не,O
знает,O
оков,O
которую,O
Олег,B-PER
Волков,I-PER
и,O
Юлий,B-PER
Рыбаков,I-PER
нанесли,O
на,O
Государев,O
бастион,O
Петропавловской,O
В,O
соответствии,O
с,O
приказом,O
Центрального,B-ORG
банка,I-ORG
РСФСР,B-LOC
от,O
марта,O
года,O
Сберегательный,B-ORG
банк,I-ORG
РСФСР,B-LOC
был,O
преобразован,O
в,O
Акционерный,B-ORG
коммерческий,I-ORG
Сберегательный,I-ORG
банк,I-ORG
Российской,B-LOC
Федерации,I-LOC
Сбербанк,B-ORG
России,I-ORG
АО,B-ORG
марта,O
года,O
состоялось,O
учредительное,O
собрание,O
акционеров,O
этого,O
нового,O
Опыт,O
войны,O
новое,O
вооружение,O
и,O
боевая,O
техника,O
оказали,O
существенное,O
влияние,O
на,O
состояние,O
Вооружённых,B-ORG
Сил,I-ORG
В,O
те,O
времена,O
дерево,O
было,O
основным,O
материалом,O
для,O
строительства,O
кремлей,O
благодаря,O
скорости,O
возведения,O
обилию,O
материала,O
а,O
также,O
сложившимся,O
на,O
протяжении,O
веков,O
плотницким,O
традициям,O
Сами,O
сервисы,O
были,O
крайне,O
важны,O
не,O
только,O
для,O
экосистемы,O
но,O
и,O
для,O
самого,O
Сбера,B-ORG
Самой,O
длинной,O
рекой,O
Советского,B-LOC
Союза,I-LOC
была,O
Обь,B-LOC
с,O
Иртышом,B-PER
км,O
Существовало,O
серьёзное,O
отличие,O
федеративного,O
устройства,O
в,O
РСФСР,B-LOC
и,O
Советском,B-LOC
В,O
годах,O
произошёл,O
ряд,O
законодательных,O
конфликтов,O
между,O
союзным,O
центром,O
и,O
союзными,O
республиками,O
Самая,O
высокая,O
гора,O
пик,O
Коммунизма,B-LOC
м,O
в,O
Таджикской,B-LOC
ССР,I-LOC
Научным,O
руководителем,O
работы,O
был,O
доктор,O
экономических,O
наук,O
профессор,O
Владимир,B-PER
Федосеев,I-PER
известный,O
специалист,O
в,O
области,O
экономики,O
минерального,O
декабря,O
года,O
Борис,B-PER
Ельцин,I-PER
в,O
своём,O
новогоднем,O
обращении,O
объявил,O
о,O
досрочном,O
уходе,O
в,O
отставку,O
и,O
назначении,O
на,O
пост,O
исполняющего,O
обязанности,O
президента,O
премьер,O
министра,O
Владимира,B-PER
Отец,O
Владимир,B-PER
Спиридонович,I-PER
Путин,I-PER
Мать,O
Мария,B-PER
Ивановна,I-PER
Путина,I-PER
урождённая,O
Шеломова,B-PER
Владимир,B-PER
Путин,I-PER
со,O
своей,O
матерью,O
В,O
годах,O
Путин,B-PER
учился,O
в,O
школе,O
восьмилетке,O
Сохранилась,O
только,O
Никольская,B-LOC
башня,I-LOC
с,O
крепостными,O
воротами,O
надвратной,O
церковью,O
и,O
метрами,O
стены,O
встроенная,O
в,O
Ново,B-LOC
Никольский,I-LOC
собор,I-LOC
Стрела,O
ракета,O
носитель,O
лёгкого,O
класса,O
первый,O
пуск,O
состоялся,O
декабря,O
года,O
К,O
концу,O
осени,O
немецкие,O
войска,O
подошли,O
к,O
Москве,B-LOC
где,O
развернулась,O
Битва,B-PER
за,O
Послевоенный,O
период,O
Основная,O
статья,O
Послевоенный,O
сталинизм,O
См,B-PER
также,O
Голод,O
в,O
СССР,B-LOC
и,O
Холодная,B-ORG
война,I-ORG
Советская,B-ORG
ядерная,I-ORG
баллистическая,I-ORG
ракета,I-ORG
на,O
военном,O
параде,O
на,O
Красной,B-LOC
площади,I-LOC
ПАО,B-ORG
Сбербанк,I-ORG
Сбер,I-ORG
сити,I-ORG
на,O
Кутузовском,B-LOC
проспекте,I-LOC
офис,O
Сбербанка,B-ORG
Тип,O
Публичное,B-ORG
акционерное,I-ORG
общество,I-ORG
Лицензия,I-ORG
от,O
Участие,O
в,O
ССВ,O
от,O
Листинг,B-PER
на,O
бирже,O
MCX,B-ORG
SBER,O
MCX,O
SBERP,O
LSE,O
SBER,O
Деятельность,O
Все,O
виды,O
банковской,O
деятельности,O
Год,O
основания,O
марта,O
года,O
Прежние,O
названия,O
Акционерный,B-ORG
коммерческий,I-ORG
Сберегательный,I-ORG
банк,I-ORG
Российской,O
Федерации,O
ОАО,O
Расположение,O
Россия,B-LOC
Москва,B-LOC
Ключевые,O
фигуры,O
Герман,B-PER
Греф,I-PER
президент,O
и,O
председатель,O
правления,O
Антон,B-PER
председатель,O
наблюдательного,O
совета,O
Активы,O
трлн,O
руб,O
Собственный,O
капитал,O
трлн,O
Выручка,O
трлн,O
Операционная,O
прибыль,O
трлн,O
Чистая,O
прибыль,O
трлн,O
рублей,O
Число,O
сотрудников,O
человек,O
апрель,O
Основное,O
общество,O
Правительство,O
России,B-LOC
Дочерние,O
общества,O
Еаптека,O
Ситидрайв,B-PER
и,O
ОАО,B-ORG
Сбер,I-ORG
Аудитор,O
ООО,B-ORG
ЦАТР,I-ORG
аудиторские,O
услуги,O
Сайт,O
Медиафайлы,O
на,O
Викискладе,B-LOC
полное,O
наименование,O
Сбербанк,B-ORG
зарегистрированная,O
торговая,O
марка,O
Сбер,B-ORG
российский,O
финансовый,O
конгломерат,O
крупнейший,O
универсальный,O
банк,O
России,B-LOC
и,O
Восточной,B-LOC
Европы,I-LOC
NSTR,B-ORG
компания,O
занимающаяся,O
производством,O
сети,O
автоматизированных,O
телескопов,O
AstroNYX,O
и,O
созданием,O
ракеты,O
носителя,O
сверхлёгкого,O
класса,O
Новшеством,O
стал,O
сине,O
зелёный,O
градиент,O
который,O
показывает,O
разнообразие,O
и,O
пользу,O
для,O
клиента,O
Среди,O
причин,O
образования,O
СССР,B-LOC
имели,O
место,O
внешние,O
факторы,O
угроза,O
новой,O
военной,O
интервенции,O
экономическая,O
изоляция,O
Советской,B-LOC
страны,O
попытки,O
нажима,O
В,O
полномочия,O
Союза,B-ORG
входило,O
изменение,O
границ,O
СССР,B-LOC
а,O
также,O
приём,O
новых,O
республик,O
в,O
состав,O
СССР,B-LOC
Также,O
в,O
июне,O
года,O
Сбер,B-ORG
представил,O
сервис,O
для,O
визуализации,O
данных,O
Навигатор,O
с,O
помощью,O
которого,O
можно,O
создавать,O
наглядные,O
дашборды,O
и,O
проводить,O
BI,O
мая,O
года,O
Германия,B-LOC
Сбербанк,B-ORG
самый,O
востребованный,O
банк,O
среди,O
розничных,O
клиентов,O
его,O
услугами,O
пользуется,O
большинство,O
жителей,O
России,B-LOC
на,O
сентябрь,O
года,O
его,O
объёмы,O
розничного,O
бизнеса,O
в,O
несколько,O
раз,O
больше,O
ближайшего,O
конкурента,O
Банка,B-ORG
В,O
доказательство,O
он,O
приводит,O
тот,O
факт,O
что,O
китайскую,O
стену,O
западные,O
тюрки,O
называют,O
Zagan,B-ORG
Crimm,I-ORG
или,O
Cremm,O
В,O
рамках,O
ребрендинга,O
произошла,O
смена,O
логотипа,O
который,O
сохранил,O
элементы,O
старого,O
галочку,O
символ,O
целеустремлённости,O
круг,O
символ,O
сфокусированности,O
В,O
конце,O
октября,O
года,O
Сбербанк,B-ORG
подключился,O
к,O
системе,O
СБПэй,B-ORG
Банка,I-ORG
Объект,O
культурного,O
наследия,O
народов,O
РФ,B-LOC
федерального,O
значения,O
В,O
году,O
против,O
РФ,B-LOC
были,O
введены,O
международные,O
санкции,O
за,O
аннексию,O
украинского,O
Крыма,B-LOC
сентября,O
года,O
Сбербанк,B-ORG
открыл,O
публичный,O
доступ,O
к,O
генеративному,O
чат,O
боту,O
GigaChat,B-ORG
в,O
веб,O
Avant,B-ORG
Space,I-ORG
проект,O
космической,O
рекламы,O
пилотный,O
запуск,O
спутника,O
произведён,O
в,O
Были,O
отменены,O
многие,O
сдерживающие,O
постановления,O
а,O
первые,O
этапы,O
проектирования,O
НИР,B-ORG
и,O
НИОКР,B-ORG
теперь,O
можно,O
проводить,O
даже,O
без,O
государственной,O
лицензии,O
Попытки,O
реформирования,O
советской,O
системы,O
демократизация,O
переход,O
к,O
рыночной,O
экономике,O
и,O
многопартийности,O
не,O
помогли,O
решить,O
накопившиеся,O
противоречия,O
Также,O
сохранились,O
многие,O
внутренние,O
постройки,O
кремля,B-LOC
Слово,O
кремль,O
с,O
XIV,O
века,O
получило,O
распространение,O
в,O
Северо,B-LOC
Восточной,I-LOC
Руси,I-LOC
постепенно,O
заменив,O
первоначальное,O
название,O
Начатая,O
СССР,B-LOC
после,O
предъявления,O
ультиматума,O
советско,O
финская,O
война,O
ноября,O
марта,O
стала,O
причиной,O
исключения,O
СССР,B-LOC
из,O
Лиги,O
В,O
соответствии,O
с,O
решениями,O
Ялтинской,B-LOC
и,O
Потсдамской,B-ORG
конференций,I-ORG
СССР,B-LOC
установил,O
контроль,O
над,O
соответствующими,O
оккупационными,O
зонами,O
в,O
Германии,B-LOC
и,O
Австрии,B-LOC
в,O
годах,O
Россия,B-LOC
стала,O
первой,O
страной,O
начавшей,O
осуществлять,O
космический,O
туризм,O
отправив,O
в,O
космос,O
Денниса,B-PER
Тито,I-PER
С,O
года,O
Сбербанк,B-ORG
удерживает,O
первую,O
позицию,O
в,O
рейтинге,O
наиболее,O
дорогих,O
брендов,O
в,O
России,B-LOC
который,O
составляет,O
компания,O
Brand,B-ORG
в,O
HGЯO,B-ORG
Многолетнее,O
монголо,O
татарское,O
иго,O
затормозило,O
развитие,O
отечественного,O
фортификационного,O
зодчества,O
на,O
полторы,O
сотни,O
лет,O
так,O
как,O
прекратились,O
междоусобные,O
войны,O
и,O
необходимость,O
строить,O
крепости,O
отпала,O
Интерес,O
к,O
проекту,O
Греф,B-PER
объяснял,O
ростом,O
тарифов,O
на,O
SMS,O
со,O
стороны,O
мобильных,O
операторов,O
Объект,O
БД,O
Викигида,O
Московский,B-LOC
кремль,I-LOC
В,O
дереве,O
XII,O
век,O
В,O
камне,O
Сохранилось,O
башен,O
из,O
декабря,O
года,O
состоялся,O
первый,O
пуск,O
ракеты,O
носителя,O
Ангара,O
первой,O
тяжёлой,O
ракеты,O
носителя,O
разработанной,O
в,O
России,B-LOC
после,O
распада,O
СССР,B-LOC
и,O
обеспечивающей,O
стране,O
независимый,O
гарантированный,O
доступ,O
в,O
Директор,O
Федеральной,B-ORG
службы,I-ORG
безопасности,I-ORG
РФ,B-LOC
Владимир,B-PER
Путин,I-PER
Планы,O
разработки,O
сверхтяжелой,O
ракеты,O
для,O
дальних,O
космических,O
полетов,O
и,O
строительства,O
лунной,O
базы,O
приостановлены,O
Также,O
сохранились,O
белокаменные,O
фрагменты,O
цоколя,O
и,O
фундамента,O
башен,O
а,O
также,O
земляной,O
вал,O
Объект,O
культурного,O
наследия,O
народов,O
РФ,B-LOC
федерального,O
значения,O
Ребрендингом,B-PER
занималось,O
иностранное,O
агентство,O
Landor,B-ORG
Fitch,I-ORG
его,O
сумма,O
не,O
называлась,O
однако,O
на,O
одну,O
смену,O
вывесок,O
на,O
всех,O
отделениях,O
и,O
обновления,O
наружных,O
сооружений,O
потратят,O
млрд,O
Объект,O
БД,O
Викигида,O
Нижегородский,B-LOC
кремль,I-LOC
В,O
дереве,O
XIII,O
век,O
В,O
камне,O
Сохранились,O
все,O
башен,O
кремля,B-LOC
включая,O
восстановленных,O
Поступок,O
Путина,B-PER
